# Phoenix SDR WWV Subcarrier Log v1.2.0+40.0a7f527-dirty
# Started: 2025-12-17 16:56:52
time,timestamp_ms,minute,expected,sub500_db,sub600_db,delta_db,detected,match
16:58:59,122880.0,58,500Hz,-69.4,-69.0,-0.3,NONE,NO
16:59:00,123904.0,59,NONE,-64.1,-66.6,2.5,NONE,YES
16:59:01,124928.0,59,NONE,-70.5,-68.6,-1.9,NONE,YES
16:59:02,125952.0,59,NONE,-70.1,-71.1,1.0,NONE,YES
16:59:03,126976.0,59,NONE,-69.0,-68.6,-0.4,NONE,YES
16:59:05,128000.0,59,NONE,-69.4,-71.8,2.4,NONE,YES
16:59:06,129024.0,59,NONE,-71.2,-71.0,-0.2,NONE,YES
16:59:07,130048.0,59,NONE,-67.6,-65.2,-2.4,NONE,YES
16:59:08,131072.0,59,NONE,-69.9,-69.0,-0.9,NONE,YES
16:59:09,132096.0,59,NONE,-71.8,-71.0,-0.7,NONE,YES
